OPCODE;MAINOUTITEMCODE;PRODQTY;REMAINQTY;PRODSTART;PRODEND;MAINRESOURCE;MASTEROPCODE;DEPARTMENT;PREVOPCODE;NEXTOPCODE
"I_100597:10";"100597";"1786.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M448287:10;M445643:10;M458675:10;M445952:10;M441560:10;M503039:10;M445959:10;M472725:10;M463663:10";
"I_100603:10";"100603";"1885.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M472739:10;M481484:10;M484358:10;M457246:10";
"I_100609:10";"100609";"570.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100615:10";"100615";"272.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100621:10";"100621";"1235.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M442481:10;M392253:10;M460250:10;M414502:10;M458317:10;M472781:10;M453695:10;M482574:10;M472723:10;M463673:10;M463695:10;M499544:10;M499586:10;M458302:10;M484503:10;M484422:10;M480782:10;M482526:10;M491018:10;M337636:10;M471820:10;M499372:10";
"I_100627:10";"100627";"1703.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M380099:10;M445650:10;M453723:10;M457248:10;M442436:10;M456197:10";
"I_100637:10";"100637";"473.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M463658:10;M452127:10;M444528:10;M463673:10;M503402:10;M499531:10;M499544:10;M482509:10;M490473:10;M484343:10;M453705:10;M337636:10;M499372:10";
"I_100644:10";"100644";"1330.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M453723:10;M456197:10;M499668:10;M484761:10;M478194:10";
"I_100649:10";"100649";"608.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M489143:10;M446939:10;M469697:10;M503402:10;M471825:10;M487965:10";
"I_100656:10";"100656";"68.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M437287:10";
"I_100661:10";"100661";"667.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M442481:10;M392253:10;M460250:10;M414502:10;M458317:10;M472781:10;M482574:10;M472723:10;M472980:10;M463695:10;M499586:10;M484503:10;M484422:10;M480782:10;M482526:10;M491018:10;M471820:10;M499372:10";
